model,n_subjects,dice_mean,dice_ci_lo,dice_ci_hi,dice_mean_95ci,non_jec_mean,non_jec_ci_lo,non_jec_ci_hi,non_jec_mean_95ci,sdlogj_mean,sdlogj_ci_lo,sdlogj_ci_hi,sdlogj_mean_95ci,hd95_mean,hd95_ci_lo,hd95_ci_hi,hd95_mean_95ci,assd_mean,assd_ci_lo,assd_ci_hi,assd_mean_95ci
HypEReg-TransMorph,115,0.7537295718927456,0.7485957384605315,0.7587454472217279,"0.7537 [0.7486, 0.7587]",1.460547279373706e-05,1.3322849945005175e-05,1.6042326301274584e-05,"1.461e-05 [1.332e-05, 1.604e-05]",0.3279965732893522,0.32402412596899366,0.33218329043113615,"0.3280 [0.3240, 0.3322]",5.323394894260585,5.195173067269186,5.45112988476471,"5.3234 [5.1952, 5.4511]",1.357048308669769,1.3247223675664062,1.3896976817448439,"1.3570 [1.3247, 1.3897]"
TransMorph,115,0.7526827692900775,0.7469849698152305,0.7581342657203265,"0.7527 [0.7470, 0.7581]",0.015020986995341573,0.014413376675876235,0.01566074815201212,"1.502e-02 [1.441e-02, 1.566e-02]",0.5007638066768519,0.4943117327161082,0.5075517687400042,"0.5008 [0.4943, 0.5076]",5.687237912378319,5.5390650922959255,5.837550334387703,"5.6872 [5.5391, 5.8376]",1.4073207320295618,1.373474907464257,1.4429249558543202,"1.4073 [1.3735, 1.4429]"
TransMorphBayes,115,0.7530294837925566,0.7473538490216178,0.7584396761252101,"0.7530 [0.7474, 0.7584]",0.015095509278354638,0.014507061565391225,0.015710118043003075,"1.510e-02 [1.451e-02, 1.571e-02]",0.49336808463639104,0.48739040621192503,0.4996479605467062,"0.4934 [0.4874, 0.4996]",5.724640957853155,5.584669772711901,5.864603091297855,"5.7246 [5.5847, 5.8646]",1.4160487663849497,1.3831182092711305,1.4500857973584953,"1.4160 [1.3831, 1.4501]"
MIDIR,115,0.7423466851475046,0.7380388383914721,0.7464744059711667,"0.7423 [0.7380, 0.7465]",0.0,0.0,0.0,"0.000e+00 [0.000e+00, 0.000e+00]",0.31476035510927197,0.3105057235295275,0.3193747599203902,"0.3148 [0.3105, 0.3194]",5.302805549999703,5.1898307601309135,5.4172291872399905,"5.3028 [5.1898, 5.4172]",1.4100350849544607,1.3815128954937717,1.4395155887698023,"1.4100 [1.3815, 1.4395]"
SyN (ANTs),115,0.6445304158816731,0.6372397622142207,0.6517622468932381,"0.6445 [0.6372, 0.6518]",5.873999999999999e-06,1.2351021739130437e-06,1.2428954347826079e-05,"5.874e-06 [1.235e-06, 1.243e-05]",0.2996336384347826,0.2866123669347826,0.31303634477608694,"0.2996 [0.2866, 0.3130]",6.4457315588028985,6.117394878751231,6.778393912503624,"6.4457 [6.1174, 6.7784]",1.5233349630869564,1.3838090979586233,1.667512394856232,"1.5233 [1.3838, 1.6675]"
