metric,baseline,n,her_mean,baseline_mean,median_paired_diff_raw,median_paired_diff_aligned,effect_signed,p_raw,q_bh_fdr,significant_q<0.05
dice_mean,transmorph_original_uploaded,115,0.5765154379182013,0.5740955510430461,0.0023256697760137834,0.0023256697760137834,0.5334332833583209,6.878848978049726e-07,6.878848978049726e-07,True
dice_mean,transmorphbayes_uploaded,115,0.5765154379182013,0.5731369758442679,0.002706377776925506,0.002706377776925506,0.6857571214392804,1.7426925176866585e-10,2.3235900235822113e-10,True
non_jec,transmorph_original_uploaded,115,1.460547279373706e-05,0.015020986995341571,-0.014746675037202324,0.014746675037202324,1.0,1.3128610014438802e-20,2.6257220028877604e-20,True
non_jec,transmorphbayes_uploaded,115,1.460547279373706e-05,0.015002878635319565,-0.01471426827566958,0.01471426827566958,1.0,1.3128610014438802e-20,2.6257220028877604e-20,True
