ref_model,baseline,metric,n,p_raw,q_bh_fdr,significant_q<0.05,direction,note
transmorph_her,pvt,jaccard_mean,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,pvt,HD95_mean,115,6.844639686552715e-19,1.0266959529829074e-18,True,lower_better,
transmorph_her,pvt,ASSD_mean,115,4.463657665749526e-19,6.782440868736293e-19,True,lower_better,
transmorph_her,pvt,NMI,115,1.6624669476261578e-20,2.8604210716508887e-20,True,higher_better,
transmorph_her,pvt,LNCC,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,pvt,SSIM,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,pvt,non_jec,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,pvt,SDlogJ,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,pvt,J_p01,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,pvt,J_p99,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,pvt,inference_s,115,2.915510961734992e-14,3.667900887344022e-14,True,lower_better,
transmorph_her,pvt,peak_mem_gb,115,2.0513318435796474e-26,4.000097094980312e-25,True,lower_better,
transmorph_her,syn,dice_mean,115,0.05847340765118724,0.06054326278928237,False,higher_better,
transmorph_her,syn,jaccard_mean,115,0.017288502194191237,0.018223015826309683,True,higher_better,
transmorph_her,syn,HD95_mean,115,1.3108846240987667e-07,1.4607000097100544e-07,True,lower_better,
transmorph_her,syn,ASSD_mean,115,0.6572377670704546,0.6572377670704546,False,lower_better,
transmorph_her,syn,NMI,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,syn,LNCC,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,syn,SSIM,115,5.2255369983579735e-20,8.491497622331706e-20,True,higher_better,
transmorph_her,syn,non_jec,115,7.999687085360864e-16,1.0635947602127512e-15,True,lower_better,
transmorph_her,syn,SDlogJ,115,3.091800163803742e-05,3.349450177454054e-05,True,lower_better,
transmorph_her,syn,J_p01,115,2.6258023898769646e-12,3.1672049444907716e-12,True,higher_better,
transmorph_her,syn,J_p99,115,0.2268946209501359,0.23084061435796435,False,lower_better,
transmorph_her,syn,inference_s,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,syn,peak_mem_gb,115,2.0513318435796474e-26,4.000097094980312e-25,True,lower_better,
transmorph_her,transmorph_original,dice_mean,115,6.878848978049726e-07,7.592691796526585e-07,True,higher_better,
transmorph_her,transmorph_original,jaccard_mean,115,0.002043857174529986,0.002173920812909167,True,higher_better,
transmorph_her,transmorph_original,HD95_mean,115,3.7742405756187774e-17,5.195131145263494e-17,True,lower_better,
transmorph_her,transmorph_original,ASSD_mean,115,6.089270133364248e-11,7.053906986174426e-11,True,lower_better,
transmorph_her,transmorph_original,NMI,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,transmorph_original,LNCC,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,transmorph_original,SSIM,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,transmorph_original,non_jec,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,transmorph_original,SDlogJ,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,transmorph_original,J_p01,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,transmorph_original,J_p99,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,transmorph_original,inference_s,115,0.03735130768131126,0.03901877677422694,True,lower_better,
transmorph_her,transmorph_original,peak_mem_gb,115,2.0513318435796474e-26,4.000097094980312e-25,True,lower_better,
transmorph_her,transmorphbayes,dice_mean,115,6.577059652724436e-10,7.471028925910282e-10,True,higher_better,
transmorph_her,transmorphbayes,jaccard_mean,115,1.5639227450209105e-06,1.7100837492284723e-06,True,higher_better,
transmorph_her,transmorphbayes,HD95_mean,115,1.7654765406074578e-18,2.6146931044439566e-18,True,lower_better,
transmorph_her,transmorphbayes,ASSD_mean,115,2.979541263945152e-11,3.5212760392079065e-11,True,lower_better,
transmorph_her,transmorphbayes,NMI,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,transmorphbayes,LNCC,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,transmorphbayes,SSIM,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,transmorphbayes,non_jec,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,transmorphbayes,SDlogJ,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,transmorphbayes,J_p01,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,transmorphbayes,J_p99,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,transmorphbayes,inference_s,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,transmorphbayes,peak_mem_gb,115,3.345359710757012e-22,4.348967623984115e-21,True,lower_better,
transmorph_her,voxelmorph_1,dice_mean,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,voxelmorph_1,jaccard_mean,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,voxelmorph_1,HD95_mean,115,5.0202829604347623e-17,6.829919841521711e-17,True,lower_better,
transmorph_her,voxelmorph_1,ASSD_mean,115,2.0264382678260438e-17,2.822539015900561e-17,True,lower_better,
transmorph_her,voxelmorph_1,NMI,115,0.19058038614803496,0.1955956594677201,False,higher_better,
transmorph_her,voxelmorph_1,LNCC,115,4.6624576369072336e-12,5.566403505287207e-12,True,higher_better,
transmorph_her,voxelmorph_1,SSIM,115,0.0002562921536081104,0.0002751025869004488,True,higher_better,
transmorph_her,voxelmorph_1,non_jec,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,voxelmorph_1,SDlogJ,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,voxelmorph_1,J_p01,115,1.3128610014438802e-20,2.3273445025596058e-20,True,higher_better,
transmorph_her,voxelmorph_1,J_p99,115,1.3128610014438802e-20,2.3273445025596058e-20,True,lower_better,
transmorph_her,voxelmorph_1,inference_s,115,2.9529188455139306e-20,5.007123259784491e-20,True,lower_better,
transmorph_her,voxelmorph_1,peak_mem_gb,115,2.0513318435796474e-26,4.000097094980312e-25,True,lower_better,
