subject,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,20,21,22,23,25,26,27,28,29,30,31,32,34,36
p_0,2.82842712,2.44948974,1.41421356,4.12310563,5.47722558,3.31662479,1.73205081,3.74165739,3.00000000,1.00000000,3.74165739,6.48074070,2.00000000,2.16524758,1.41421356,1.73205081,7.14839584,3.00000000,2.82842712,1.41421356,4.12310563,3.16227766,1.41421356,1.73205081,4.35889894,4.47213595,2.00000000,1.73205081,1.41421356,12.38907228
p_1,3.31662479,5.00000000,3.00000000,3.16227766,3.00000000,3.00000000,2.44948974,4.12310563,3.00000000,2.00000000,2.23606798,5.00000000,2.44948974,2.00000000,2.00000000,2.23606798,10.69343272,3.00000000,3.31662479,3.60555128,3.16227766,2.23606798,2.00000000,2.44948974,4.24264069,3.00000000,2.00000000,2.23606798,2.23606798,11.48038819
p_2,2.82842712,3.00000000,1.41421356,2.23606798,3.16227766,2.23606798,1.41421356,3.60555128,2.82842712,2.23606798,3.00000000,3.00000000,1.73205081,1.41421356,2.82842712,1.41421356,4.12310563,3.00000000,2.82842712,1.00000000,3.00000000,2.23606798,2.44948974,1.41421356,4.47213595,3.00000000,1.41421356,1.41421356,1.41421356,7.34846923
p_3,3.00000000,3.74165739,2.23606798,3.00000000,3.60555128,3.16227766,1.73205081,3.31662479,2.23606798,1.41421356,4.12310563,2.82842712,1.41421356,1.73205081,2.08262379,2.00000000,4.00000000,2.44948974,2.82842712,7.36869606,2.23606798,4.00000000,2.44948974,1.73205081,4.12310563,2.23606798,1.41421356,1.41421356,1.41421356,5.83095189
p_4,2.44948974,3.60555128,7.81024968,2.00000000,3.74165739,2.44948974,2.23606798,4.47213595,3.10548048,1.41421356,3.74165739,3.60555128,2.44948974,1.41421356,1.73205081,1.73205081,7.00000000,2.23606798,2.44948974,4.12310563,1.73205081,2.23606798,1.78564065,2.00000000,5.09901951,3.00000000,1.73205081,1.41421356,1.41421356,5.74456265
p_5,3.46410162,5.00000000,4.24264069,2.23606798,5.19615242,2.44948974,3.00000000,6.08276253,3.74165739,2.23606798,2.23606798,4.80512581,1.73205081,2.23606798,2.44948974,1.41421356,20.48777676,3.31662479,4.24264069,3.60555128,2.23606798,3.00000000,2.23606798,2.44948974,4.24264069,3.31662479,2.00000000,1.41421356,1.73205081,14.25425685
p_6,3.60555128,4.00000000,2.23606798,2.82842712,3.46410162,5.09901951,3.00000000,6.40312424,6.32455532,1.41421356,2.35344995,5.67001051,2.23606798,2.00000000,2.00000000,3.08113883,5.83095189,3.31662479,3.16227766,1.41421356,2.23606798,2.00000000,2.23606798,2.23606798,5.09901951,4.12310563,1.73205081,2.23606798,2.00000000,6.70693266
p_7,3.74165739,6.55743852,4.47213595,3.00000000,4.47213595,2.44948974,1.00000000,3.16227766,2.44948974,2.00000000,4.95959179,3.60555128,1.41421356,1.41421356,2.44948974,1.41421356,2.82842712,3.16227766,5.09901951,16.64781923,2.00000000,4.12310563,2.00000000,1.00000000,2.23606798,2.23606798,1.73205081,1.41421356,1.73205081,3.16227766
p_8,2.44948974,2.23606798,1.41421356,2.44948974,2.82842712,2.00000000,1.00000000,3.00000000,3.00000000,1.41421356,4.69041576,3.46410162,2.82842712,1.73205081,2.00000000,1.41421356,5.38516481,2.44948974,2.00000000,1.41421356,2.23606798,2.23606798,1.41421356,1.41421356,3.60555128,3.46410162,1.73205081,2.23606798,1.00000000,5.24340552
p_9,2.23606798,3.31662479,4.69041576,3.16227766,2.82842712,2.82842712,2.00000000,3.74165739,3.00000000,2.23606798,4.12310563,3.16227766,2.00000000,1.41421356,2.00000000,1.41421356,5.00900150,2.23606798,2.44948974,4.69041576,2.00000000,2.23606798,2.23606798,1.73205081,3.72804678,2.82842712,1.73205081,1.73205081,1.41421356,9.44419008
p_10,2.82842712,2.82842712,1.41421356,2.23606798,3.00000000,2.23606798,1.41421356,4.69041576,3.46410162,2.00000000,3.00000000,3.31662479,2.00000000,1.41421356,2.23606798,1.41421356,4.64518934,2.23606798,2.44948974,1.73205081,2.23606798,3.00000000,1.41421356,1.73205081,3.74165739,3.00000000,1.73205081,1.41421356,1.41421356,13.04907376
p_11,3.16227766,4.58257569,1.41421356,3.00000000,3.16227766,2.23606798,1.41421356,3.74165739,3.00000000,1.73205081,1.73205081,3.00000000,2.23606798,2.00000000,1.73205081,1.73205081,5.03633116,3.60555128,4.24264069,1.41421356,1.41421356,2.82842712,1.73205081,1.41421356,3.74165739,3.00000000,2.00000000,1.73205081,1.41421356,12.67664364
p_12,3.00000000,4.47213595,3.00000000,2.82842712,3.60555128,2.23606798,1.73205081,4.24264069,4.58257569,1.00000000,2.44948974,4.58257569,1.41421356,1.41421356,1.41421356,1.41421356,3.16227766,2.23606798,3.00000000,2.00000000,1.73205081,3.00000000,2.23606798,2.00000000,3.08925271,3.31662479,1.41421356,1.41421356,2.00000000,3.00000000
p_13,3.00000000,3.00000000,1.00000000,2.23606798,3.00000000,2.23606798,1.00000000,5.09901951,3.60555128,3.00000000,6.16441400,3.60555128,1.73205081,1.73205081,2.23606798,1.41421356,4.35889894,2.82842712,2.23606798,2.00000000,3.00000000,2.44948974,2.00000000,1.41421356,4.96464282,3.31662479,1.73205081,1.41421356,1.41421356,7.27320916
p_14,3.60555128,3.00000000,1.41421356,3.00000000,7.14142843,2.44948974,2.23606798,5.65685425,3.60555128,2.44948974,1.73205081,5.00000000,1.73205081,1.89282032,2.44948974,1.41421356,6.40312424,3.74165739,3.00000000,1.00000000,4.47213595,9.16515139,2.00000000,2.23606798,4.35889894,3.74165739,2.00000000,2.00000000,1.41421356,6.57121748
p_15,2.23606798,2.23606798,1.41421356,3.74165739,3.00000000,2.00000000,1.41421356,4.35889894,4.12310563,1.41421356,2.44948974,3.00000000,1.41421356,1.73205081,1.73205081,1.41421356,6.25051481,2.23606798,2.23606798,1.41421356,1.73205081,3.00000000,2.44948974,2.23606798,4.35889894,2.82842712,1.41421356,1.41421356,1.41421356,5.83095189
