subject,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,20,21,22,23,25,26,27,28,29,30,31,32,34,36
p_0,0.69357457,0.53030928,0.76694721,0.60739508,0.64750504,0.70040268,0.65168269,0.54491117,0.58445556,0.71580899,0.54801022,0.76486519,0.68021390,0.62572646,0.56156502,0.70350242,0.15324927,0.68894378,0.50952099,0.71939210,0.54701310,0.67613740,0.78999901,0.64441624,0.48765641,0.56049187,0.68377555,0.66816311,0.71241326,0.17558022
p_1,0.69109882,0.50604870,0.62312803,0.65860194,0.73375692,0.72091906,0.60231262,0.53585597,0.57724359,0.55848787,0.58468835,0.76195912,0.62173727,0.64728353,0.43046358,0.65751668,0.05044510,0.69306319,0.50906168,0.65493853,0.64149830,0.73019357,0.78936940,0.60159440,0.49830458,0.58707865,0.67316136,0.67843866,0.63941458,0.15996344
p_2,0.70533702,0.53488027,0.80450333,0.67576199,0.73420671,0.74633288,0.73680994,0.60790698,0.59409315,0.59718826,0.55860806,0.81957000,0.68503061,0.67385722,0.43691420,0.71390419,0.30110701,0.68601527,0.52261812,0.78451094,0.66408698,0.75082340,0.71600625,0.73719423,0.57586418,0.57799853,0.70194424,0.71228070,0.70667119,0.33048875
p_3,0.69934580,0.52256786,0.80666758,0.65086671,0.73055059,0.70173128,0.72655266,0.62100527,0.62613760,0.68490679,0.69294361,0.82216343,0.70534833,0.67526029,0.54501217,0.71522310,0.24130106,0.70348478,0.53321661,0.78046709,0.69230376,0.73891464,0.74021179,0.72946948,0.57596124,0.63968668,0.72414402,0.68997669,0.73329993,0.37057599
p_4,0.71812613,0.52948306,0.50557671,0.71132163,0.72773749,0.73345173,0.60855950,0.56143525,0.57810945,0.58156028,0.66191607,0.80415356,0.64132901,0.68760908,0.52317416,0.69783862,0.09876543,0.72931471,0.53948178,0.61585280,0.73837832,0.75958544,0.79034283,0.63190310,0.51418733,0.59352078,0.68410646,0.68099110,0.72539166,0.19103774
p_5,0.67176335,0.45881086,0.44684740,0.70321502,0.67642863,0.71510446,0.48610434,0.41396806,0.46452016,0.52036794,0.62767561,0.76988581,0.67651943,0.62222222,0.42897527,0.71105791,0.13247863,0.66062505,0.44744664,0.53346457,0.69347698,0.71017970,0.75279454,0.56817176,0.40301318,0.43600000,0.65711760,0.69987390,0.66021208,0.12382234
p_6,0.68698514,0.52559864,0.67156503,0.67730132,0.72045119,0.61304187,0.54470111,0.39877800,0.37525934,0.59324080,0.66845063,0.75158024,0.65763477,0.63338534,0.55353430,0.63471778,0.05445545,0.68676936,0.51418506,0.75786317,0.68081958,0.76206939,0.74767088,0.64863464,0.47853346,0.57208730,0.69214691,0.61178707,0.71227553,0.26138490
p_7,0.68054732,0.44588881,0.76948114,0.69905213,0.70137646,0.74201616,0.76773327,0.62379249,0.61292897,0.60963245,0.65414326,0.80686169,0.70160274,0.68619662,0.47180193,0.72251309,0.32969799,0.67918178,0.45188726,0.74363542,0.70821403,0.72877371,0.77425681,0.76487567,0.63306824,0.61799923,0.69140557,0.69827586,0.70091286,0.37100546
p_8,0.71901999,0.57648670,0.77125897,0.67189684,0.73346720,0.77580728,0.74611512,0.61641484,0.54273684,0.61386768,0.46120858,0.79567390,0.59940060,0.63721805,0.49014085,0.71839465,0.20352035,0.70657500,0.57007820,0.80487145,0.68492904,0.73947903,0.80338664,0.73225068,0.58557047,0.55472945,0.68681226,0.61809269,0.74546939,0.25612472
