subject,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,20,21,22,23,25,26,27,28,29,30,31,32,34,36
p_0,0.93504171,0.97362119,0.91391703,0.88742179,0.95443321,0.85433112,0.92621161,0.81117679,0.90772220,0.93164010,0.76273585,0.92794544,0.88096754,0.83031459,0.98378777,0.93211627,0.90664424,0.92233503,0.99679753,0.90496394,0.89597100,0.99346642,0.95964225,0.94798580,0.74676063,0.88256228,0.88245931,0.83157659,0.90661864,0.83948498
p_1,0.94033377,0.94701494,0.81456816,0.88957522,0.97487376,0.85560104,0.85541237,0.82813431,0.83031904,0.82105263,0.85378367,0.95194346,0.85945471,0.90028343,0.94360269,0.93623278,0.77401130,0.93659979,0.98354895,0.84925717,0.94358099,0.99488939,0.92051418,0.85759378,0.73049296,0.81533923,0.87075611,0.87264673,0.91365245,0.82742317
p_2,0.93288991,0.95499429,0.93867843,0.98161538,0.94856917,0.88442155,0.98146845,0.87455404,0.88218527,0.86414083,0.77743831,0.94925662,0.87384412,0.95059834,0.96638234,0.96377094,0.76460579,0.90588063,0.98577989,0.97459020,0.92014037,0.99944512,0.86718457,0.98567818,0.82209065,0.86920028,0.91604699,0.92388759,0.97990849,0.94344023
p_3,0.90756957,0.94074472,0.98348837,0.95580471,0.93697473,0.86730067,0.95068293,0.87491626,0.89053056,0.92719486,0.89291943,0.96140955,0.92720750,0.92394199,0.87244094,0.96767406,0.92382693,0.92162269,0.96211685,0.97414057,0.92808643,0.95992240,0.90509156,0.96270617,0.81245661,0.94176524,0.93131334,0.88772414,0.98101937,0.87088608
p_4,0.96342912,0.93377720,0.68696359,0.97439755,0.94126641,0.86662941,0.88462038,0.80930771,0.83564523,0.83139013,0.85945688,0.93815404,0.87962872,0.96018614,0.85661595,0.97903760,0.90387016,0.97470394,0.94119830,0.80413455,0.99633076,0.97005038,0.91590701,0.91634168,0.76102975,0.83429229,0.91248984,0.87425150,0.98920678,0.74851485
p_5,0.91947122,0.92341665,0.63936842,0.96130797,0.92023726,0.85199957,0.77198163,0.78184697,0.71547492,0.72687986,0.87127246,0.93879354,0.91125198,0.97233414,0.93966370,0.99046786,0.65660377,0.93481731,0.94584715,0.73743458,0.93171971,0.96733119,0.89045657,0.84375441,0.77516779,0.72144847,0.93309145,0.96439169,0.99916690,0.74251497
p_6,0.93594752,0.95830727,0.87692308,0.99227343,0.94776558,0.80907755,0.84132420,0.74626286,0.72939845,0.83257576,0.88019246,0.92649510,0.85118338,0.85959885,0.98962864,0.84849801,0.89436620,0.93216547,0.97973648,0.93906213,0.99449185,0.99815939,0.90265046,0.88311144,0.71792035,0.83457176,0.88635963,0.83982071,0.90490726,0.93867458
p_7,0.90207070,0.87560063,0.98016302,0.96371244,0.90036677,0.88514633,0.99949367,0.92982263,0.90895596,0.81496063,0.87836977,0.94678308,0.90655096,0.95524146,0.91962617,0.98461246,0.89211356,0.91256386,0.91597851,0.97956751,0.98130009,0.94519298,0.92256676,0.98326834,0.91823330,0.88708522,0.96326193,0.94585448,0.98282592,0.97896532
p_8,0.96931837,0.97149247,0.92549295,0.96297295,0.94547139,0.92097212,0.98470795,0.87911621,0.84825328,0.84824596,0.67235859,0.93747192,0.83947533,0.89150402,0.96937618,0.98949007,0.96892139,0.94034160,0.99848967,0.95119208,0.98489184,0.99184293,0.96134006,0.95072115,0.83132275,0.81243358,0.89181052,0.89066373,0.99111402,0.86761229
p_9,0.97200985,0.93997034,0.66626494,0.90978511,0.92921374,0.86811257,0.88532212,0.86718166,0.86956522,0.72396694,0.83502000,0.93995741,0.90700301,0.92319018,0.97327044,0.98688108,0.83058471,0.96048013,0.97488441,0.74852652,0.97780974,0.96369218,0.89839464,0.93032245,0.84775537,0.85978676,0.89541547,0.90000000,0.97280761,0.77609108
p_10,0.95164062,0.96837010,0.84718603,0.98788914,0.94206658,0.89029964,0.93167963,0.78329034,0.82805430,0.77959577,0.81899685,0.93674644,0.91156600,0.88541400,0.98431539,0.99784341,0.95414847,0.96207310,0.97774777,0.81259921,0.99090861,0.97841819,0.95248951,0.93229870,0.83382324,0.78167598,0.91676234,0.91109995,0.99744246,0.88160000
p_11,0.88577412,0.93904600,0.88891485,0.96860779,0.93741567,0.89307173,0.97008227,0.88583489,0.84385707,0.82236559,0.90490798,0.94579039,0.86587241,0.92364991,0.94409106,0.97043871,0.94832276,0.87581736,0.94714627,0.90714780,0.95182766,0.97708605,0.92246412,0.96042395,0.81523071,0.86576869,0.89861240,0.88264545,0.99423822,0.93353028
p_12,0.92989233,0.92599610,0.82518385,0.95783945,0.92754494,0.92455679,0.95591006,0.80339374,0.79548798,0.94586425,0.94222009,0.91314790,0.96268730,0.90009515,0.94016393,0.99785588,0.96070727,0.95093076,0.94832017,0.90378898,0.98748137,0.95538746,0.93706550,0.94877345,0.81541582,0.80629256,0.98081889,0.88256714,0.98992806,0.98115660
p_13,0.93615736,0.99468116,0.93048079,0.94790187,0.98416051,0.89120261,0.99598394,0.78509532,0.83633671,0.65655977,0.61998685,0.94388313,0.90607252,0.90210723,0.94658754,0.98899238,0.96391753,0.92484838,0.96995027,0.91453088,0.94079656,0.99721117,0.91511994,0.94014882,0.80363442,0.83477853,0.90826613,0.89146470,0.97518939,0.79457917
p_14,0.89160273,0.99632947,0.93531742,0.95644120,0.90013582,0.87664534,0.90760383,0.76442619,0.83927722,0.95255212,0.95076032,0.92617552,0.91423735,0.90973036,0.85250000,0.98096969,0.87326389,0.88252105,0.98999805,0.94838486,0.89618316,0.90145602,0.92049500,0.87901349,0.75666803,0.84007876,0.91493056,0.85393922,0.97542745,0.84588804
p_15,0.96730699,0.96855775,0.90055327,0.95928732,0.93411755,0.92757601,0.94226104,0.83274166,0.79417785,0.93513899,0.94415918,0.94196018,0.92718876,0.86504610,0.95597484,0.96328595,0.99917424,0.95021518,0.98349030,0.90691687,0.97216443,0.94094786,0.91534704,0.90068949,0.80675502,0.82559712,0.93522505,0.88486756,0.97588160,0.89023569
p_16,0.94106281,0.96304925,0.93349132,0.99817554,0.96730555,0.88150197,0.90355004,0.81108043,0.81178034,0.95238095,0.84745763,0.93214128,0.92858675,0.96995940,0.96748682,0.98299287,0.96153846,0.93486030,0.99758443,0.98960499,0.97147215,0.97091276,0.91156984,0.92986621,0.74879785,0.83882619,0.95370079,0.93850000,0.99258260,0.63549921
p_17,0.91935450,0.98222323,0.95617582,0.91030136,0.90591630,0.91760886,0.96377051,0.91461803,0.83966516,0.88543689,0.80542061,0.94818369,0.94965190,0.94390426,0.93114080,0.99755324,0.83065954,0.89995261,0.98682942,0.97311426,0.98781664,0.94034493,0.94527962,0.95611578,0.78887628,0.83678259,0.97295801,0.87636364,0.96973599,0.94770544
p_18,0.96759484,0.96136131,0.87304723,0.96298183,0.91463023,0.91111896,0.87008525,0.73387913,0.78979344,0.82661668,0.88109372,0.93818517,0.90394826,0.81635725,0.98187163,0.96563921,0.99893730,0.94689042,0.99578645,0.82491803,0.93332051,0.96999247,0.97383561,0.80472667,0.69054441,0.80452281,0.87952698,0.80193470,0.95935909,0.67359667
p_19,0.96660378,0.97521224,0.92330327,0.99986188,0.95126353,0.90241130,0.97695262,0.88937521,0.79523671,0.86575795,0.91162143,0.93482207,0.92634048,0.93062516,0.98275862,0.97141754,0.91308326,0.94647427,0.99632188,0.91602852,0.96234047,0.97866151,0.94134095,0.94799637,0.75721925,0.77973951,0.94601761,0.87055261,0.98331565,0.73046532
p_20,0.90599737,0.96775747,0.88313126,0.90073687,0.85646211,0.88083014,0.90645979,0.83514789,0.81916472,0.93256523,0.75876195,0.95740910,0.83209973,0.89549922,0.95792371,0.94239167,0.84587814,0.89353892,0.98969460,0.95834017,0.97708967,0.94526681,0.89798602,0.91331186,0.72171254,0.84013462,0.84151547,0.82561576,0.93047035,0.88972163
p_21,0.90612823,0.97529645,0.95837574,0.95607541,0.92891165,0.95503577,0.98597819,0.90200685,0.81925889,0.97075139,0.83402874,0.90234233,0.90760816,0.92154421,0.78851964,0.98589279,0.83185841,0.89572393,0.98506165,0.99724278,0.91113309,0.97413097,0.93952988,0.99526983,0.91246888,0.85525592,0.92111369,0.88586387,0.99924333,0.92316580
p_22,0.88736283,0.92521142,0.97300481,0.86558972,0.92885963,0.83666610,0.84967487,0.82036775,0.89103318,0.96372783,0.88873387,0.88903727,0.91812328,0.87210172,0.86555048,0.92061448,0.94068966,0.88747395,0.94883896,0.99018276,0.93449928,0.97248391,0.88728573,0.89797763,0.81639461,0.85123596,0.88335704,0.86479961,0.93041750,0.98767866
p_23,0.93745007,0.97032630,0.93356243,0.99138494,0.92922134,0.90184388,0.99818841,0.88975864,0.89359606,0.92255892,0.90166254,0.91990263,0.87738310,0.91320539,0.97285653,0.96246445,0.80744544,0.93431679,0.98583026,0.96621980,0.92110967,0.96436754,0.92125579,0.97786673,0.78813311,0.87986042,0.93897933,0.90040650,0.96788009,0.88426209
